Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
13628100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
13678300,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,70,E2,
13728500,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
13778300,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,90,FC,
13828100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
13878300,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,B0,2C,
13928100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
13978300,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,D0,42,
14028000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
14078600,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,F0,6E,
14128300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
14178100,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,10,76,
14228000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
14278600,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,30,A6,
14328200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
14378200,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,50,C2,
14428400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
14478500,000003A1,false,Rx,0,8,C3,FF,FF,99,3E,00,70,C8,
14528500,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
14578300,000003A1,false,Rx,0,8,C3,FF,FF,C9,3E,00,90,18,
14628000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
14678400,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,B0,2A,
14728000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
14778600,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,D0,3C,
14828000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
14878400,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,F0,60,
14928200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
14978400,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,10,7C,
15028000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
15078200,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,30,9A,
15128200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
15178400,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,50,D6,
15227900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
15278400,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,70,E2,
15328200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
